id,content,label
0,    STRUCTURED DATA FACILITATES EFFICIENT ANALYSIS.  ,unlabeled
1,  the quick brown fox jumps over the lazy dog.    ,unlabeled
2,  Structured data facilitates efficient analysis.   ,unlabeled
3,    FastAPI makes building APIs easy and fast.    ,unlabeled
4,Data cleaning is a crucial step in the pipeline.   ,unlabeled
5,      PYTHON IS A VERSATILE PROGRAMMING LANGUAGE.  !!!,unlabeled
6,  FastAPI makes building APIs easy and fast.       ,unlabeled
7,  Quality data leads to better performance.  ,unlabeled
8,      A clean dataset is a happy dataset.    ,unlabeled
9,MACHINE LEARNING MODELS REQUIRE CLEAN DATA.,unlabeled
10,the quick brown fox jumps over the lazy dog.???,unlabeled
11,  Natural language processing is a field of AI.  ,unlabeled
12,      PYTHON IS A VERSATILE PROGRAMMING LANGUAGE.     ### ,unlabeled
13,    Quality data leads to better performance.      ,unlabeled
14,  A clean dataset is a happy dataset.    ,unlabeled
15,    Natural language processing is a field of AI.  ,unlabeled
16,    Python is a versatile programming language.      ...,unlabeled
17,      FastAPI makes building APIs easy and fast.     ,unlabeled
18,Artificial intelligence is transforming the world.,unlabeled
19,Python is a versatile programming language.   ,unlabeled
20,    Python is a versatile programming langage.         ,unlabeled
21,Python is a versatile programming language.,unlabeled
22,      The quick brown fox jumps over the lazy dog.    ---,unlabeled
23,FastAPI makes building APIs easy and fast. @@@ ,unlabeled
24,Quality data leads to better performance.   ,unlabeled
25,      Data cleaning is a crucial step in teh pipeline.      ???,unlabeled
26,Natural language processing is a field of AI.,unlabeled
27,      Natural language processing is a feild of AI.      ,unlabeled
28,  Structured data facilitates efficient analysis.   ,unlabeled
29,    Python is a versatile programming language.  ,unlabeled
30,Quality data leads to better performance....,unlabeled
31,  DATA CLEANING IS A CRUCIAL STEP IN THE PIPELINE.   @@@ ,unlabeled
32,      data cleaning is a crucial step in the pipeline.      ,unlabeled
33,  Quality data leads to better performance.    ,unlabeled
34,Quality data leads to better performance.,unlabeled
35,Artificial intelligence is transforming the world.???,unlabeled
36,      Machine learning models require clean data.    ,unlabeled
37,  Structured data facilitates efficient analysis.  ...,unlabeled
38,  A clean dataset is a happy dataset.      ,unlabeled
39,Natural language processing is a field of AI.   ,unlabeled
40,"  A clean dataset is a happy dataset.      

",unlabeled
41,      Machine learning models require clean data.    !!!,unlabeled
42,"STRUCTURED DATA FACILITATES EFFICIENT ANALYSIS.

",unlabeled
43,  The quik brown fox jumps over the lazy dog.  ,unlabeled
44,  A clean dataset is a happy dataset.   ,unlabeled
45,    STRUCTURED DATA FACILITATES EFFICIENT ANALYSIS.    ,unlabeled
46,      Natural langage processing is a field of AI.   @@@ ,unlabeled
47,      A clean dataset is a happy dataset.      ,unlabeled
48,Quality data leads to better performance.,unlabeled
49,QUALITY DATA LEADS TO BETTER PERFORMANCE....,unlabeled
50,Quality data leads to better performance.,unlabeled
51,data cleaning is a crucial step in the pipeline. ,unlabeled
52,  FastAPI makes building APIs easy and fast.     ### ,unlabeled
53,  The quik brown fox jumps over the lazy dog.      ,unlabeled
54,  Machine learning models require clean data.    ,unlabeled
55,  PYTHON IS A VERSATILE PROGRAMMING LANGUAGE.    ,unlabeled
56,a clean dataset is a happy dataset.,unlabeled
57,  Natural langage processing is a field of AI.    ,unlabeled
58,      The quick brown fox jumps over the lazy dog.    ,unlabeled
59,  FastAPI makes building APIs easy and fast.      ,unlabeled
60,  Machine learning models require clean data.       ,unlabeled
61,Data cleaning is a crucial step in the pipeline.   ,unlabeled
62,      A clean dataset is a happy dataset.     ### ,unlabeled
63,      A clean dataset is a happy dataset.       ### ,unlabeled
64,  Machine learning models require clean data.    ,unlabeled
65,"  ARTIFICIAL INTELLIGENCE IS TRANSFORMING THE WORLD.  

",unlabeled
66,  Structured data facilitates efficient analysis.  ,unlabeled
67,Data cleaning is a crucial step in the pipeline.,unlabeled
68,Natural language processing is a field of AI.,unlabeled
69,    Natural langage processing is a field of AI.      ,unlabeled
70,  THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG.       ### ,unlabeled
71,  Machine learning models require clean data.    ,unlabeled
72,      Data cleaning is a crucial step in the pipeline.    ,unlabeled
73,    Natural language processing is a feild of AI.    ,unlabeled
74,Data cleaning is a crucial step in the pipeline.,unlabeled
75,      Artificial intelligence is transforming teh world.         ,unlabeled
76,A clean dataset is a happy dataset. @@@ ,unlabeled
77,  DATA CLEANING IS A CRUCIAL STEP IN THE PIPELINE.  ???,unlabeled
78,Structured data facilitates efficient analysis.   ,unlabeled
79,Quality data leads to better performance.   ,unlabeled
80,  Structured data facilitates efficient analysis.    ,unlabeled
81,  A clean dataset is a happy dataset.    !!!,unlabeled
82,    FastAPI makes building APIs easy and fast.  ,unlabeled
83,  PYTHON IS A VERSATILE PROGRAMMING LANGUAGE.      !!!,unlabeled
84,  A clean dataset is a happy dataset.  ,unlabeled
85,      Machine learning modles require clean data.    ,unlabeled
86,Natural language processing is a field of AI. ### ,unlabeled
87,      Structured data facilitates efficient analysis.  ,unlabeled
88,A CLEAN DATASET IS A HAPPY DATASET.,unlabeled
89,    Quality data leads to better performance.       @@@ ,unlabeled
90,    Natural language processing is a field of AI.      ,unlabeled
91,  Machine learning models require clean data.  ,unlabeled
92,    A clean dataset is a happy dataset.      ,unlabeled
93,  Structured data facilitates efficient analysis.     ,unlabeled
94,    The quik brown fox jmps over teh lazy dog.  ,unlabeled
95,FASTAPI MAKES BUILDING APIS EASY AND FAST.,unlabeled
96,  Structured data facilitates efficient analysis.    ,unlabeled
97,  machine learning models require clean data.       ### ,unlabeled
98,  Python is a versatile programming language.       @@@ ,unlabeled
99,  FastAPI makes building APIs easy and fast.       ,unlabeled
100,  fastapi makes building apis easy and fast.  ,unlabeled
101,    A clean dataset is a happy dataset.    ,unlabeled
102,Natural langage processing is a field of AI.   ,unlabeled
103,"      A clean dataset is a happy dataset.      

",unlabeled
104,  Quality data leads to better performance.   @@@ ,unlabeled
105,    Data cleaning is a crucial step in the pipeline.   @@@ ,unlabeled
106,      Quality data leads to better performance.    ,unlabeled
107,  Data cleaning is a crucial step in the pipeline.      ---,unlabeled
108,      Data cleaning is a crucial step in the pipeline.      ,unlabeled
109,"  the quick brown fox jumps over the lazy dog.    

",unlabeled
110,  The quick brown fox jumps over the lazy dog.  ,unlabeled
111,    Machine learning models require clean data.  ,unlabeled
112,      Artificial intelligence is transforming the world.         ,unlabeled
113,  Data cleaning is a crucial step in the pipeline.  ...,unlabeled
114,Data cleaning is a crucial step in the pipeline.,unlabeled
115,    structured data facilitates efficient analysis.    ,unlabeled
116,PYTHON IS A VERSATILE PROGRAMMING LANGUAGE. @@@ ,unlabeled
117,"      Natural langage processing is a field of AI.    

",unlabeled
118,the quick brown fox jumps over the lazy dog. ### ,unlabeled
119,      Python is a versatile programming langage.  ,unlabeled
120,    DATA CLEANING IS A CRUCIAL STEP IN TEH PIPELINE.  ,unlabeled
121,    NATURAL LANGUAGE PROCESSING IS A FEILD OF AI.       ### ,unlabeled
122,    fastapi makes building apis easy and fast.     ### ,unlabeled
123,      FastAPI makes building APIs easy and fast.  ,unlabeled
124,"python is a versatile programming language.

",unlabeled
125,"  The quik brown fox jumps over the lazy dog.    

",unlabeled
126,  FastAPI makes building APIs easy and fast.     ### ,unlabeled
127,      FASTAPI MAKES BUILDING APIS EASY AND FAST.  ???,unlabeled
128,"  Quality data leads to better performance.      

",unlabeled
129,    FastAPI makes building APIs easy and fast.      ???,unlabeled
130,    Data cleaning is a crucial step in the pipeline.  ,unlabeled
131,  quality data leads to better performance.    ,unlabeled
132,    Python is a versatile programming language.  ???,unlabeled
133,  The quik brown fox jumps over the lazy dog.      ---,unlabeled
134,  FastAPI makes building APIs easy and fast.  ,unlabeled
135,      Quality data leads to better performance.      ,unlabeled
136,      A clean dataset is a happy dataset.    ,unlabeled
137,DATA CLEANING IS A CRUCIAL STEP IN THE PIPELINE.,unlabeled
138,"      python is a versatile programming langage.      

",unlabeled
139,Artificial intelligence is transforming the world.,unlabeled
140,      Data cleaning is a crucial step in the pipeline.      ,unlabeled
141,      Structured data facilitates efficient analysis.     ,unlabeled
142,Data cleaning is a crucial step in the pipeline.   ,unlabeled
143,    FastAPI makes building APIs easy and fast.  ,unlabeled
144,Artificial intelligence is transforming the world.   ,unlabeled
145,Natural language processing is a field of AI.---,unlabeled
146,    Machine learning models require clean data.  !!!,unlabeled
147,      The quick brown fox jumps over the lazy dog.    ,unlabeled
148,"  Machine learning models require clean data.    

",unlabeled
149,Artificial intelligence is transforming the world. ,unlabeled
150,  Machine learning models require clean data.    ---,unlabeled
151,  Natural language processing is a feild of AI.       ,unlabeled
152,  FastAPI makes building APIs easy and fast.      ,unlabeled
153,Structured data facilitates efficient analysis.,unlabeled
154,    Natural language processing is a field of AI.    ???,unlabeled
155,    A CLEAN DATASET IS A HAPPY DATASET.  ...,unlabeled
156,"  FastAPI makes building APIs easy and fast.      

",unlabeled
157,      QUALITY DATA LEADS TO BETTER PERFORMANCE.  !!!,unlabeled
158,Quality data leads to better performance.---,unlabeled
159,The quick brown fox jumps over teh lazy dog.---,unlabeled
160,FastAPI makes building APIs easy and fast....,unlabeled
161,FASTAPI MAKES BUILDING APIS EASY AND FAST.,unlabeled
162,FastAPI makes building APIs easy and fast.???,unlabeled
163,    Python is a versatile programming language.       ,unlabeled
164,artificial intelligence is transforming the world.,unlabeled
165,Natural langage processing is a field of AI.,unlabeled
166,      Artificial intelligence is transforming the world.       ### ,unlabeled
167,      Python is a versatile programming language.  ,unlabeled
168,    Machine learning models require clean data.    ,unlabeled
169,      fastapi makes building apis easy and fast.       ,unlabeled
170,      The quick brown fox jmps over the lazy dog.       ,unlabeled
171,    Machine learning models require clean data.   ### ,unlabeled
172,      FastAPI makes building APIs easy and fast.      ,unlabeled
173,      Natural language processing is a field of AI.   ### ,unlabeled
174,Quality data leads to better performance.,unlabeled
175,Machine learning models require clean data.,unlabeled
176,      The quick brown fox jumps over the lazy dog.    ,unlabeled
177,Python is a versatile programming language.,unlabeled
178,      Python is a versatile programming language.      ,unlabeled
179,      Data cleaning is a crucial step in the pipeline.      ,unlabeled
180,  FastAPI makes building APIs easy and fast.     ,unlabeled
181,    FastAPI makes building APIs easy and fast.    ,unlabeled
182,Artificial intelligence is transforming the world.,unlabeled
183,      Python is a versatile programming language.    ,unlabeled
184,Machine learning models require clean data. ### ,unlabeled
185,  Python is a versatile programming language.  ,unlabeled
186,  NATURAL LANGUAGE PROCESSING IS A FIELD OF AI.    ???,unlabeled
187,Structured data facilitates efficient analysis....,unlabeled
188,      The quik brown fox jumps over the lazy dog.      ,unlabeled
189,    Machine learning models require clean data.       ,unlabeled
190,  artificial intelligence is transforming the world.      ,unlabeled
191,"      Artificial intelligence is transforming the world.    

",unlabeled
192,    Quality data leads to better performance.  ,unlabeled
193,Artificial intelligence is transforming the world.---,unlabeled
194,A clean dataset is a happy dataset....,unlabeled
195,      Natural language processing is a field of AI.    ,unlabeled
196,Structured data facilitates efficient analysis.,unlabeled
197,    The quick brown fox jumps over the lazy dog.      ???,unlabeled
198,    Python is a versatile programming language.    ,unlabeled
199,    Data cleaning is a crucial step in the pipeline.      ,unlabeled
200,    Data cleaning is a crucial step in the pipeline.    !!!,unlabeled
201,Quality data leads to better performance.!!!,unlabeled
202,Structured data facilitates efficient analysis.,unlabeled
203,      Python is a versatile programming langage.      ???,unlabeled
204,  Structured data facilitates efficient analysis.    !!!,unlabeled
205,Data cleaning is a crucial step in the pipeline.,unlabeled
206,  PYTHON IS A VERSATILE PROGRAMMING LANGUAGE.  ,unlabeled
207,  Natural language processing is a feild of AI.    ,unlabeled
208,    Python is a versatile programming language.      ,unlabeled
209,Artificial intelligence is transforming the world.,unlabeled
210,  Quality data leads to better performance.      ---,unlabeled
211,PYTHON IS A VERSATILE PROGRAMMING LANGUAGE.,unlabeled
212,      Structured data facilitates efficient analysis.      ,unlabeled
213,  Machine learning models require clean data.         ,unlabeled
214,      A clean dataset is a happy dataset.    !!!,unlabeled
215,    Quality data leads to better performance.  ---,unlabeled
216,Data cleaning is a crucial step in the pipeline.,unlabeled
217,  FastAPI makes building APIs easy and fast.    ---,unlabeled
218,      Python is a versatile programming language.  ---,unlabeled
219,  Machine learning models require clean data.  ,unlabeled
220,"      Data cleaning is a crucial step in the pipeline.  

",unlabeled
221,  fastapi makes building apis easy and fast.    ,unlabeled
222,      Structured data facilitates efficient analysis.  ,unlabeled
223,FastAPI makes building APIs easy and fast.   ,unlabeled
224,"      A clean dataset is a happy dataset.    

",unlabeled
225,  The quik brown fox jumps over the lazy dog.       ,unlabeled
226,    Quality data leads to better performance.      ,unlabeled
227,      Natural langage processing is a field of AI.    ,unlabeled
228,A clean dataset is a happy dataset.,unlabeled
229,FastAPI makes building APIs easy and fast.,unlabeled
230,Machine learning models require clean data.,unlabeled
231,"    The quick brown fox jmps over teh lazy dog.  

",unlabeled
232,      The quick brown fox jumps over the lazy dog.      !!!,unlabeled
233,      Artificial intelligence is transforming teh world.     ,unlabeled
234,      the quick brown fox jmps over teh lazy dog.    ,unlabeled
235,  Natural language processing is a field of AI.      ,unlabeled
236,  Natural language processing is a feild of AI.    ,unlabeled
237,"  artificial intelligence is transforming the world.      

",unlabeled
238,    data cleaning is a crucial step in teh pipeline.      ,unlabeled
239,Quality data leads to better performance.,unlabeled
240,Quality data leads to better performance....,unlabeled
241,  QUALITY DATA LEADS TO BETTER PERFORMANCE.     ,unlabeled
242,      FastAPI makes building APIs easy and fast.  !!!,unlabeled
243,  The quick brown fox jmps over the lazy dog.    ,unlabeled
244,  Python is a versatile programming language.  ,unlabeled
245,    Data cleaning is a crucial step in the pipeline.    ...,unlabeled
246,    Structured data facilitates efficient analysis.      ???,unlabeled
247,    Artificial intelligence is transforming the world.   ,unlabeled
248,      Artificial intelligence is transforming the world.  ...,unlabeled
249,    Artificial intelligence is transforming the world.      ,unlabeled
250,  A clean dataset is a happy dataset.    ,unlabeled
251,STRUCTURED DATA FACILITATES EFFICIENT ANALYSIS.,unlabeled
252,the quick brown fox jumps over the lazy dog.!!!,unlabeled
253,Data cleaning is a crucial step in teh pipeline.,unlabeled
254,Data cleaning is a crucial step in the pipeline.   ,unlabeled
255,"    Python is a versatile programming language.  

",unlabeled
256,  Artificial intelligence is transforming teh world.  !!!,unlabeled
257,  Quality data leads to better performance.      ,unlabeled
258,  ARTIFICIAL INTELLIGENCE IS TRANSFORMING THE WORLD.      ,unlabeled
259,      fastapi makes building apis easy and fast.    ,unlabeled
260,  PYTHON IS A VERSATILE PROGRAMMING LANGUAGE.    ,unlabeled
261,      data cleaning is a crucial step in the pipeline.  ,unlabeled
262,      Data cleaning is a crucial step in the pipeline.   @@@ ,unlabeled
263,PYTHON IS A VERSATILE PROGRAMMING LANGUAGE.---,unlabeled
264,  Artificial intelligence is transforming the world.    ---,unlabeled
265,Artificial intelligence is transforming teh world.!!!,unlabeled
266,  Data cleaning is a crucial step in the pipeline.      ,unlabeled
267,      FastAPI makes building APIs easy and fast.      ???,unlabeled
268,Structured data facilitates efficient analysis.,unlabeled
269,      Machine learning modles require clean data.  ,unlabeled
270,A clean dataset is a happy dataset.,unlabeled
271,      Natural langage processing is a field of AI.      ...,unlabeled
272,  machine learning models require clean data.      ,unlabeled
273,MACHINE LEARNING MODELS REQUIRE CLEAN DATA.---,unlabeled
274,      The quick brown fox jumps over teh lazy dog.  ???,unlabeled
275,    Machine learning models require clean data.         ,unlabeled
276,      Machine learning modles require clean data.      ,unlabeled
277,    The quick brown fox jumps over the lazy dog.     ,unlabeled
278,    Data cleaning is a crucial step in the pipeline.      ,unlabeled
279,Machine learning models require clean data.,unlabeled
280,artificial intelligence is transforming teh world.,unlabeled
281,      Machine learning models require clean data.    ,unlabeled
282,    Data cleaning is a crucial step in the pipeline.     ,unlabeled
283,Quality data leads to better performance.,unlabeled
284,    A clean dataset is a happy dataset.    !!!,unlabeled
285,"      Natural language processing is a field of AI.  

",unlabeled
286,      The quick brown fox jumps over the lazy dog.  ---,unlabeled
287,The quick brown fox jumps over teh lazy dog.   ,unlabeled
288,      FastAPI makes building APIs easy and fast.    ,unlabeled
289,  The quick brown fox jumps over teh lazy dog.    !!!,unlabeled
290,FastAPI makes building APIs easy and fast. @@@ ,unlabeled
291,Artificial intelligence is transforming teh world.,unlabeled
292,    Structured data facilitates efficient analysis.     ,unlabeled
293,The quik brown fox jumps over the lazy dog.   ,unlabeled
294,Natural language processing is a field of AI.,unlabeled
295,    The quick brown fox jumps over the lazy dog.      ,unlabeled
296,structured data facilitates efficient analysis.---,unlabeled
297,PYTHON IS A VERSATILE PROGRAMMING LANGUAGE.,unlabeled
298,"    The quick brown fox jumps over the lazy dog.      

",unlabeled
299,machine learning models require clean data. ### ,unlabeled
300,FastAPI makes building APIs easy and fast.,unlabeled
301,"  Structured data facilitates efficient analysis.    

",unlabeled
302,      Python is a versatile programming language.    ,unlabeled
303,  artificial intelligence is transforming the world.      ,unlabeled
304,FastAPI makes building APIs easy and fast.!!!,unlabeled
305,      Python is a versatile programming langage.    ,unlabeled
306,A clean dataset is a happy dataset.???,unlabeled
307,  Artificial intelligence is transforming the world.    ,unlabeled
308,  Structured data facilitates efficient analysis.    ,unlabeled
309,"      A clean dataset is a happy dataset.      

",unlabeled
310,Python is a versatile programming language.!!!,unlabeled
311,    FastAPI makes building APIs easy and fast.       ### ,unlabeled
312,FastAPI makes building APIs easy and fast.,unlabeled
313,The quick brown fox jumps over teh lazy dog.???,unlabeled
314,      The quik brown fox jmps over the lazy dog.         ,unlabeled
315,    Python is a versatile programming language.    ...,unlabeled
316,      FastAPI makes building APIs easy and fast.      ,unlabeled
317,Machine learning models require clean data.,unlabeled
318,"      Natural language processing is a field of AI.  

",unlabeled
319,    The quick brown fox jumps over teh lazy dog.  ,unlabeled
320,    Quality data leads to better performance.    ,unlabeled
321,      Python is a versatile programming language.      !!!,unlabeled
322,      Artificial intelligence is transforming teh world.  ---,unlabeled
323,  FastAPI makes building APIs easy and fast.    ,unlabeled
324,    A clean dataset is a happy dataset.    ???,unlabeled
325,  THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG.  ...,unlabeled
326,      Machine learning models require clean data.      ,unlabeled
327,data cleaning is a crucial step in the pipeline.,unlabeled
328,      FASTAPI MAKES BUILDING APIS EASY AND FAST.  ,unlabeled
329,    Structured data facilitates efficient analysis.    ,unlabeled
330,    Machine learning modles require clean data.      ---,unlabeled
331,"    Structured data facilitates efficient analysis.      

",unlabeled
332,Quality data leads to better performance.   ,unlabeled
333,    Data cleaning is a crucial step in the pipeline.    ???,unlabeled
