id,content,label
667,      Python is a versatile programming language.         ,unlabeled
668,Structured data facilitates efficient analysis.,unlabeled
669,  Artificial intelligence is transforming the world.      ,unlabeled
670,  Natural language processing is a field of AI.  ...,unlabeled
671,  Machine learning modles require clean data.      ,unlabeled
672,"      Artificial intelligence is transforming the world.      

",unlabeled
673,  Structured data facilitates efficient analysis.  !!!,unlabeled
674,Data cleaning is a crucial step in the pipeline.???,unlabeled
675,  Quality data leads to better performance.      ,unlabeled
676,    Quality data leads to better performance.      !!!,unlabeled
677,      Python is a versatile programming language.  ,unlabeled
678,Natural langage processing is a field of AI.   ,unlabeled
679,      FastAPI makes building APIs easy and fast.    ,unlabeled
680,Quality data leads to better performance.,unlabeled
681,    Natural language processing is a field of AI.      !!!,unlabeled
682,data cleaning is a crucial step in teh pipeline.,unlabeled
683,    NATURAL LANGUAGE PROCESSING IS A FEILD OF AI.  ,unlabeled
684,  Machine learning models require clean data.       ,unlabeled
685,      Artificial intelligence is transforming the world.       ,unlabeled
686,    DATA CLEANING IS A CRUCIAL STEP IN THE PIPELINE.      ...,unlabeled
687,STRUCTURED DATA FACILITATES EFFICIENT ANALYSIS.,unlabeled
688,      The quick brown fox jmps over the lazy dog.    ,unlabeled
689,    A clean dataset is a happy dataset.  ,unlabeled
690,  A clean dataset is a happy dataset.  ,unlabeled
691,  the quick brown fox jumps over the lazy dog.  ,unlabeled
692,      Python is a versatile programming langage.    ,unlabeled
693,      python is a versatile programming language.  ,unlabeled
694,    fastapi makes building apis easy and fast.    ,unlabeled
695,      FastAPI makes building APIs easy and fast.    ,unlabeled
696,  FASTAPI MAKES BUILDING APIS EASY AND FAST.    ,unlabeled
697,  Python is a versatile programming language.  ,unlabeled
698,Quality data leads to better performance....,unlabeled
699,  Structured data facilitates efficient analysis.  ,unlabeled
700,ARTIFICIAL INTELLIGENCE IS TRANSFORMING THE WORLD.,unlabeled
701,FastAPI makes building APIs easy and fast.!!!,unlabeled
702,    Data cleaning is a crucial step in the pipeline.  ,unlabeled
703,    Machine learning models require clean data.    ,unlabeled
704,A clean dataset is a happy dataset.,unlabeled
705,  natural language processing is a feild of ai.  ---,unlabeled
706,      A clean dataset is a happy dataset.    ,unlabeled
707,      python is a versatile programming langage.     ,unlabeled
708,    Quality data leads to better performance.  ,unlabeled
709,  Natural language processing is a feild of AI.      ,unlabeled
710,  Data cleaning is a crucial step in the pipeline.  ,unlabeled
711,  A clean dataset is a happy dataset.       ### ,unlabeled
712,      Natural language processing is a field of AI.    ,unlabeled
713,"  Data cleaning is a crucial step in the pipeline.      

",unlabeled
714,  A clean dataset is a happy dataset.  ,unlabeled
715,Machine learning models require clean data.,unlabeled
716,  quality data leads to better performance.      ???,unlabeled
717,  Artificial intelligence is transforming the world.      ,unlabeled
718,      Artificial intelligence is transforming the world.      ,unlabeled
719,"Artificial intelligence is transforming the world.

",unlabeled
720,    Python is a versatile programming language.      ...,unlabeled
721,  QUALITY DATA LEADS TO BETTER PERFORMANCE.    ,unlabeled
722,    Machine learning models require clean data.     @@@ ,unlabeled
723,A clean dataset is a happy dataset.!!!,unlabeled
724,  The quick brown fox jumps over the lazy dog.    ,unlabeled
725,Machine learning models require clean data.,unlabeled
726,      A CLEAN DATASET IS A HAPPY DATASET.       ,unlabeled
727,    MACHINE LEARNING MODELS REQUIRE CLEAN DATA.  ???,unlabeled
728,  Data cleaning is a crucial step in the pipeline.    ,unlabeled
729,      The quick brown fox jumps over the lazy dog.      ,unlabeled
730,FastAPI makes building APIs easy and fast....,unlabeled
731,NATURAL LANGUAGE PROCESSING IS A FIELD OF AI.,unlabeled
732,  the quick brown fox jumps over the lazy dog.  ,unlabeled
733,      Structured data facilitates efficient analysis.      ,unlabeled
734,      Machine learning modles require clean data.  ,unlabeled
735,  STRUCTURED DATA FACILITATES EFFICIENT ANALYSIS.    ???,unlabeled
736,Python is a versatile programming language.,unlabeled
737,Python is a versatile programming language.,unlabeled
738,  Machine learning models require clean data.     ,unlabeled
739,  Machine learning models require clean data.         ,unlabeled
740,A clean dataset is a happy dataset.,unlabeled
741,DATA CLEANING IS A CRUCIAL STEP IN THE PIPELINE.,unlabeled
742,      Quality data leads to better performance.      ,unlabeled
743,Machine learning models require clean data.,unlabeled
744,Structured data facilitates efficient analysis....,unlabeled
745,    Artificial intelligence is transforming the world.    ,unlabeled
746,    A clean dataset is a happy dataset.  ,unlabeled
747,  ARTIFICIAL INTELLIGENCE IS TRANSFORMING THE WORLD.     ,unlabeled
748,The quick brown fox jumps over the lazy dog.---,unlabeled
749,  Artificial intelligence is transforming the world.  !!!,unlabeled
750,Data cleaning is a crucial step in the pipeline.,unlabeled
751,      The quik brown fox jumps over teh lazy dog.    ,unlabeled
752,Structured data facilitates efficient analysis. @@@ ,unlabeled
753,  Structured data facilitates efficient analysis.  ,unlabeled
754,The quick brown fox jumps over the lazy dog.!!!,unlabeled
755,MACHINE LEARNING MODELS REQUIRE CLEAN DATA.!!!,unlabeled
756,      The quick brown fox jumps over teh lazy dog.      ,unlabeled
757,  Python is a versatile programming langage.      ,unlabeled
758,data cleaning is a crucial step in the pipeline.   ,unlabeled
759,      Structured data facilitates efficient analysis.    ---,unlabeled
760,Data cleaning is a crucial step in the pipeline.,unlabeled
761,  Machine learning models require clean data.  ,unlabeled
762,Python is a versatile programming language.---,unlabeled
763,    FastAPI makes building APIs easy and fast.       ,unlabeled
764,The quick brown fox jumps over the lazy dog.,unlabeled
765,  Python is a versatile programming language.  ,unlabeled
766,A clean dataset is a happy dataset.   ,unlabeled
767,    data cleaning is a crucial step in the pipeline.         ,unlabeled
768,  Machine learning models require clean data.  ,unlabeled
769,    Natural langage processing is a field of AI.         ,unlabeled
770,Artificial intelligence is transforming the world.,unlabeled
771,    FastAPI makes building APIs easy and fast.  ,unlabeled
772,  Artificial intelligence is transforming the world.      ,unlabeled
773,      Artificial intelligence is transforming the world.  ,unlabeled
774,Machine learning models require clean data.???,unlabeled
775,    FastAPI makes building APIs easy and fast.  ,unlabeled
776,quality data leads to better performance.   ,unlabeled
777,NATURAL LANGUAGE PROCESSING IS A FIELD OF AI. ### ,unlabeled
778,      python is a versatile programming language.  ,unlabeled
779,PYTHON IS A VERSATILE PROGRAMMING LANGUAGE. @@@ ,unlabeled
780,    Quality data leads to better performance.    ,unlabeled
781,    A clean dataset is a happy dataset.    ,unlabeled
782,PYTHON IS A VERSATILE PROGRAMMING LANGUAGE.   ,unlabeled
783,    Structured data facilitates efficient analysis.  ---,unlabeled
784,    A clean dataset is a happy dataset.    ,unlabeled
785,  Quality data leads to better performance.  ,unlabeled
786,      Data cleaning is a crucial step in the pipeline.   @@@ ,unlabeled
787,      The quick brown fox jmps over the lazy dog.     ,unlabeled
788,Machine learning models require clean data.   ,unlabeled
789,    structured data facilitates efficient analysis.  ,unlabeled
790,Structured data facilitates efficient analysis.,unlabeled
791,"  Natural language processing is a field of AI.  

",unlabeled
792,      A clean dataset is a happy dataset.         ,unlabeled
793,      python is a versatile programming language.    ,unlabeled
794,      the quick brown fox jumps over teh lazy dog.    ,unlabeled
795,    FASTAPI MAKES BUILDING APIS EASY AND FAST.    ---,unlabeled
796,Artificial intelligence is transforming the world. ,unlabeled
797,  Machine learning models require clean data.  ,unlabeled
798,Structured data facilitates efficient analysis.,unlabeled
799,      QUALITY DATA LEADS TO BETTER PERFORMANCE.    !!!,unlabeled
800,      Quality data leads to better performance.   ### ,unlabeled
801,"      A CLEAN DATASET IS A HAPPY DATASET.    

",unlabeled
802,  Structured data facilitates efficient analysis.      ,unlabeled
803,Structured data facilitates efficient analysis.   ,unlabeled
804,    Quality data leads to better performance.         ,unlabeled
805,      Structured data facilitates efficient analysis.  ,unlabeled
806,      Structured data facilitates efficient analysis.     ,unlabeled
807,The quick brown fox jumps over the lazy dog.   ,unlabeled
808,    The quick brown fox jumps over the lazy dog.  ...,unlabeled
809,      python is a versatile programming language.   @@@ ,unlabeled
810,    Structured data facilitates efficient analysis.  ,unlabeled
811,    Natural language processing is a field of AI.    ,unlabeled
812,FastAPI makes building APIs easy and fast.,unlabeled
813,"  THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG.    

",unlabeled
814,  Natural language processing is a feild of AI.      ???,unlabeled
815,      machine learning modles require clean data.      ---,unlabeled
816,  fastapi makes building apis easy and fast.    ,unlabeled
817,ARTIFICIAL INTELLIGENCE IS TRANSFORMING THE WORLD.   ,unlabeled
818,Data cleaning is a crucial step in the pipeline.   ,unlabeled
819,      Structured data facilitates efficient analysis.    ,unlabeled
820,      The quick brown fox jumps over the lazy dog.     ,unlabeled
821,Data cleaning is a crucial step in the pipeline.,unlabeled
822,Structured data facilitates efficient analysis. ### ,unlabeled
823,      Python is a versatile programming language.   @@@ ,unlabeled
824,"    The quick brown fox jumps over the lazy dog.    

",unlabeled
825,    fastapi makes building apis easy and fast.    ,unlabeled
826,    A CLEAN DATASET IS A HAPPY DATASET.  ,unlabeled
827,    Machine learning models require clean data.  ???,unlabeled
828,Natural language processing is a field of AI.???,unlabeled
829,ARTIFICIAL INTELLIGENCE IS TRANSFORMING THE WORLD.   ,unlabeled
830,  python is a versatile programming language.     ### ,unlabeled
831,  Quality data leads to better performance.    ,unlabeled
832,  Python is a versatile programming language.      !!!,unlabeled
833,      Quality data leads to better performance.  ,unlabeled
834,Natural language processing is a field of AI.,unlabeled
835,"  The quick brown fox jumps over teh lazy dog.  

",unlabeled
836,QUALITY DATA LEADS TO BETTER PERFORMANCE.,unlabeled
837,      THE QUIK BROWN FOX JMPS OVER TEH LAZY DOG.         ,unlabeled
838,  Structured data facilitates efficient analysis.  !!!,unlabeled
839,  Python is a versatile programming language.       ,unlabeled
840,Data cleaning is a crucial step in the pipeline.,unlabeled
841,      FastAPI makes building APIs easy and fast.         ,unlabeled
842,    The quick brown fox jmps over teh lazy dog.      ,unlabeled
843,      ARTIFICIAL INTELLIGENCE IS TRANSFORMING THE WORLD.  ,unlabeled
844,"The quick brown fox jumps over the lazy dog.

",unlabeled
845,    Artificial intelligence is transforming the world.  ,unlabeled
846,      QUALITY DATA LEADS TO BETTER PERFORMANCE.    ,unlabeled
847,  artificial intelligence is transforming teh world.       ,unlabeled
848,FastAPI makes building APIs easy and fast.   ,unlabeled
849,Machine learning models require clean data.   ,unlabeled
850,      FastAPI makes building APIs easy and fast.      !!!,unlabeled
851,    Data cleaning is a crucial step in the pipeline.  ,unlabeled
852,      Structured data facilitates efficient analysis.  ,unlabeled
853,  artificial intelligence is transforming teh world.    ,unlabeled
854,    Artificial intelligence is transforming the world.       ### ,unlabeled
855,DATA CLEANING IS A CRUCIAL STEP IN THE PIPELINE.   ,unlabeled
856,    The quick brown fox jumps over the lazy dog.  ,unlabeled
857,      Data cleaning is a crucial step in the pipeline.    ...,unlabeled
858,      a clean dataset is a happy dataset.  ---,unlabeled
859,The quick brown fox jumps over the lazy dog.,unlabeled
860,    the quick brown fox jumps over the lazy dog.       @@@ ,unlabeled
861,      Natural language processing is a field of AI.  ---,unlabeled
862,    Quality data leads to better performance.    ,unlabeled
863,    Quality data leads to better performance.     ### ,unlabeled
864,    A clean dataset is a happy dataset.  ,unlabeled
865,    Machine learning models require clean data.       ,unlabeled
866,    structured data facilitates efficient analysis.   ### ,unlabeled
867,      Natural language processing is a feild of AI.    ,unlabeled
868,the quick brown fox jumps over the lazy dog.,unlabeled
869,  FastAPI makes building APIs easy and fast.    ???,unlabeled
870,NATURAL LANGUAGE PROCESSING IS A FIELD OF AI.,unlabeled
871,  Quality data leads to better performance.      ,unlabeled
872,      Structured data facilitates efficient analysis.    ,unlabeled
873,MACHINE LEARNING MODELS REQUIRE CLEAN DATA....,unlabeled
874,      Artificial intelligence is transforming the world.         ,unlabeled
875,"    The quick brown fox jumps over the lazy dog.  

",unlabeled
876,      Data cleaning is a crucial step in the pipeline.  ,unlabeled
877,"Structured data facilitates efficient analysis.

",unlabeled
878,    Data cleaning is a crucial step in the pipeline.      !!!,unlabeled
879,    A clean dataset is a happy dataset.  ,unlabeled
880,The quick brown fox jmps over teh lazy dog.,unlabeled
881,      The quick brown fox jumps over the lazy dog.  ,unlabeled
882,      A clean dataset is a happy dataset.       @@@ ,unlabeled
883,  Python is a versatile programming language.      ,unlabeled
884,      Quality data leads to better performance.    ,unlabeled
885,      Artificial intelligence is transforming the world.       @@@ ,unlabeled
886,    A clean dataset is a happy dataset.     @@@ ,unlabeled
887,      python is a versatile programming language.      ,unlabeled
888,    Python is a versatile programming language.      ,unlabeled
889,  FastAPI makes building APIs easy and fast.  ,unlabeled
890,  Python is a versatile programming language.    ,unlabeled
891,    A clean dataset is a happy dataset.      ,unlabeled
892,  Data cleaning is a crucial step in the pipeline.    ,unlabeled
893,    STRUCTURED DATA FACILITATES EFFICIENT ANALYSIS.  ---,unlabeled
894,  Structured data facilitates efficient analysis.    ---,unlabeled
895,      FastAPI makes building APIs easy and fast.  ,unlabeled
896,fastapi makes building apis easy and fast.,unlabeled
897,    Quality data leads to better performance.         ,unlabeled
898,      Data cleaning is a crucial step in the pipeline.         ,unlabeled
899,  Artificial intelligence is transforming the world.  ,unlabeled
900,      Python is a versatile programming language.  ---,unlabeled
901,      Machine learning models require clean data.     ,unlabeled
902,    data cleaning is a crucial step in the pipeline.         ,unlabeled
903,FastAPI makes building APIs easy and fast.,unlabeled
904,Quality data leads to better performance.,unlabeled
905,    Natural language processing is a field of AI.       ,unlabeled
906,"    The quick brown fox jumps over the lazy dog.    

",unlabeled
907,      Artificial intelligence is transforming the world.  ,unlabeled
908,The quik brown fox jmps over teh lazy dog.   ,unlabeled
909,Natural langage processing is a field of AI.,unlabeled
910,    Natural language processing is a field of AI.  ,unlabeled
911,  Quality data leads to better performance.         ,unlabeled
912,  Natural language processing is a field of AI.  !!!,unlabeled
913,    FastAPI makes building APIs easy and fast.     ,unlabeled
914,      A clean dataset is a happy dataset.         ,unlabeled
915,    ARTIFICIAL INTELLIGENCE IS TRANSFORMING THE WORLD.       ,unlabeled
916,      Artificial intelligence is transforming the world.      ,unlabeled
917,The quick brown fox jumps over the lazy dog.,unlabeled
918,  Artificial intelligence is transforming teh world.    ,unlabeled
919,  THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG.  ,unlabeled
920,      ARTIFICIAL INTELLIGENCE IS TRANSFORMING THE WORLD.       @@@ ,unlabeled
921,  FastAPI makes building APIs easy and fast.      ,unlabeled
922,      Artificial intelligence is transforming the world.  ???,unlabeled
923,    Python is a versatile programming langage.     ### ,unlabeled
924,  Machine learning models require clean data.         ,unlabeled
925,Data cleaning is a crucial step in the pipeline.,unlabeled
926,"  Quality data leads to better performance.    

",unlabeled
927,    A clean dataset is a happy dataset.    ,unlabeled
928,  Natural language processing is a field of AI.   ### ,unlabeled
929,  Machine learning models require clean data.      ,unlabeled
930,  Quality data leads to better performance.     @@@ ,unlabeled
931,  Data cleaning is a crucial step in the pipeline.   ### ,unlabeled
932,  Natural language processing is a field of AI.    ,unlabeled
933,  FastAPI makes building APIs easy and fast.      !!!,unlabeled
934,  The quick brown fox jumps over teh lazy dog.       ,unlabeled
935,  Quality data leads to better performance.      !!!,unlabeled
936,natural language processing is a field of ai....,unlabeled
937,  Artificial intelligence is transforming the world.       ,unlabeled
938,  Python is a versatile programming language.  !!!,unlabeled
939,    Structured data facilitates efficient analysis.      ,unlabeled
940,Artificial intelligence is transforming teh world.,unlabeled
941,      Data cleaning is a crucial step in the pipeline.         ,unlabeled
942,      A clean dataset is a happy dataset.    ,unlabeled
943,  Structured data facilitates efficient analysis.       ### ,unlabeled
944,STRUCTURED DATA FACILITATES EFFICIENT ANALYSIS.   ,unlabeled
945,"  MACHINE LEARNING MODLES REQUIRE CLEAN DATA.  

",unlabeled
946,      NATURAL LANGUAGE PROCESSING IS A FIELD OF AI.      ,unlabeled
947,Machine learning models require clean data. @@@ ,unlabeled
948,Python is a versatile programming language.   ,unlabeled
949,      natural language processing is a field of ai.     ,unlabeled
950,"  MACHINE LEARNING MODELS REQUIRE CLEAN DATA.  

",unlabeled
951,      Python is a versatile programming language.      ,unlabeled
952,Structured data facilitates efficient analysis....,unlabeled
953,    Machine learning models require clean data.  ,unlabeled
954,    Data cleaning is a crucial step in the pipeline.     ,unlabeled
955,      Quality data leads to better performance.     ,unlabeled
956,FastAPI makes building APIs easy and fast.,unlabeled
957,      Python is a versatile programming language.    ,unlabeled
958,      The quick brown fox jmps over the lazy dog.  ,unlabeled
959,"Structured data facilitates efficient analysis.

",unlabeled
960,    FastAPI makes building APIs easy and fast.  ,unlabeled
961,      Data cleaning is a crucial step in the pipeline.         ,unlabeled
962,  Machine learning models require clean data.      ,unlabeled
963,      The quick brown fox jumps over the lazy dog.      ,unlabeled
964,  Natural language processing is a field of AI.      ...,unlabeled
965,    FastAPI makes building APIs easy and fast.    !!!,unlabeled
966,Quality data leads to better performance.,unlabeled
967,    A clean dataset is a happy dataset.  ???,unlabeled
968,      Natural language processing is a field of AI.  ,unlabeled
969,    Machine learning models require clean data.    ,unlabeled
970,      Natural language processing is a field of AI.    ???,unlabeled
971,"      Data cleaning is a crucial step in the pipeline.  

",unlabeled
972,  Machine learning models require clean data.  ,unlabeled
973,Structured data facilitates efficient analysis.,unlabeled
974,Structured data facilitates efficient analysis.???,unlabeled
975,  Natural language processing is a field of AI.    ???,unlabeled
976,data cleaning is a crucial step in teh pipeline.---,unlabeled
977,Natural language processing is a field of AI. ### ,unlabeled
978,      A clean dataset is a happy dataset.    ???,unlabeled
979,      Natural langage processing is a field of AI.      ,unlabeled
980,    QUALITY DATA LEADS TO BETTER PERFORMANCE.  ,unlabeled
981,  Natural language processing is a field of AI.  ...,unlabeled
982,      Python is a versatile programming language.     ,unlabeled
983,      QUALITY DATA LEADS TO BETTER PERFORMANCE.      ,unlabeled
984,  Quality data leads to better performance.    ,unlabeled
985,  MACHINE LEARNING MODELS REQUIRE CLEAN DATA.      ,unlabeled
986,      Quality data leads to better performance.  !!!,unlabeled
987,"The quick brown fox jumps over the lazy dog.

",unlabeled
988,    Quality data leads to better performance.   @@@ ,unlabeled
989,    natural language processing is a feild of ai.    ,unlabeled
990,  Structured data facilitates efficient analysis.  ,unlabeled
991,      A clean dataset is a happy dataset.  ,unlabeled
992,Data cleaning is a crucial step in the pipeline.,unlabeled
993,      Quality data leads to better performance.      ,unlabeled
994,    Artificial intelligence is transforming the world.      ,unlabeled
995,      STRUCTURED DATA FACILITATES EFFICIENT ANALYSIS.    ,unlabeled
996,THE QUIK BROWN FOX JUMPS OVER TEH LAZY DOG.!!!,unlabeled
997,  A clean dataset is a happy dataset.    ,unlabeled
998,"    FastAPI makes building APIs easy and fast.    

",unlabeled
999,      FastAPI makes building APIs easy and fast.   ,unlabeled
